,r1,r2,p1,p2,gesture
100,-1,-32,-5,-6,2
101,-1,-32,-5,-6,2
102,-1,-32,-5,-6,2
103,-1,-32,-5,-6,2
104,-1,-32,-5,-6,2
105,-1,-32,-5,-6,2
106,-1,-32,-5,-6,2
107,-1,-33,-5,-6,2
108,-3,-33,-10,-5,2
109,-3,-35,-28,-4,2
110,1,-43,-44,-1,2
111,1,-42,-49,0,2
112,2,-41,-50,0,2
113,2,-41,-49,0,2
114,2,-41,-48,0,2
115,2,-42,-44,1,2
116,-3,-38,-28,-2,2
117,0,-37,-13,-4,2
118,0,-36,-10,-5,2
119,0,-36,-10,-6,2
120,0,-35,-10,-6,2
121,0,-35,-10,-6,2
122,0,-35,-10,-6,2
123,0,-35,-10,-6,2
124,0,-35,-10,-6,2
125,0,-35,-10,-6,2
126,0,-35,-9,-6,2
127,0,-35,-9,-6,2
128,0,-35,-10,-7,2
129,0,-35,-10,-7,2
130,0,-35,-10,-7,2
131,0,-35,-10,-7,2
