,r1,r2,p1,p2,gesture
100,-2,-62,-11,-16,1
101,-2,-62,-11,-16,1
102,-2,-62,-11,-16,1
103,-2,-62,-11,-16,1
104,-2,-62,-11,-16,1
105,-2,-62,-11,-16,1
106,-2,-62,-12,-16,1
107,-3,-64,-18,-16,1
108,-1,-66,-36,-18,1
109,-3,-67,-53,-16,1
110,-1,-69,-60,-16,1
111,-1,-70,-61,-15,1
112,-1,-70,-59,-14,1
113,-1,-71,-57,-13,1
114,-3,-71,-46,-14,1
115,-2,-68,-32,-16,1
116,-4,-66,-18,-13,1
117,-4,-65,-5,-11,1
118,-3,-64,-1,-11,1
119,-4,-64,-1,-12,1
120,-3,-64,-2,-12,1
121,-4,-64,-2,-12,1
122,-4,-64,-3,-12,1
123,-3,-64,-3,-13,1
124,-4,-64,-3,-13,1
125,-4,-64,-3,-13,1
126,-4,-64,-4,-14,1
127,-3,-64,-4,-14,1
128,-3,-64,-4,-14,1
129,-3,-64,-4,-14,1
