,r1,r2,p1,p2,gesture
0,-4.0,-4.0,0.0,3.0,0.0
1,-2.0,-6.0,-1.0,3.0,0.0
2,-1.0,-9.0,-2.0,4.0,0.0
3,-2.0,-12.0,-4.0,5.0,0.0
4,-2.0,-16.0,-5.0,5.0,0.0
5,-1.0,-17.0,-6.0,6.0,0.0
6,-1.0,-19.0,-7.0,6.0,0.0
7,0.0,-20.0,-9.0,7.0,0.0
8,0.0,-22.0,-9.0,6.0,0.0
9,0.0,-21.0,-11.0,7.0,0.0
10,4.0,-22.0,-11.0,5.0,0.0
11,8.0,-21.0,-11.0,3.0,0.0
12,13.0,-23.0,-11.0,-1.0,0.0
13,17.0,-27.0,-12.0,-3.0,0.0
14,22.0,-28.0,-12.0,-7.0,0.0
15,25.0,-29.0,-13.0,-9.0,0.0
16,25.0,-30.0,-14.0,-9.0,0.0
17,24.0,-31.0,-16.0,-9.0,0.0
18,25.0,-30.0,-16.0,-8.0,0.0
19,23.0,-32.0,-16.0,-5.0,0.0
20,18.0,-37.0,-16.0,0.0,0.0
21,16.0,-41.0,-18.0,1.0,0.0
22,13.0,-44.0,-22.0,2.0,0.0
23,11.0,-47.0,-25.0,4.0,0.0
24,12.0,-48.0,-28.0,4.0,0.0
25,10.0,-49.0,-28.0,6.0,0.0
26,9.0,-46.0,-22.0,10.0,0.0
27,6.0,-41.0,-11.0,16.0,0.0
28,4.0,-39.0,-8.0,15.0,0.0
29,3.0,-38.0,-7.0,15.0,0.0
30,4.0,-35.0,-8.0,12.0,0.0
31,5.0,-34.0,-9.0,9.0,0.0
32,5.0,-34.0,-10.0,7.0,0.0
33,5.0,-34.0,-10.0,5.0,0.0
34,6.0,-34.0,-11.0,4.0,0.0
35,5.0,-34.0,-11.0,3.0,0.0
36,6.0,-34.0,-11.0,1.0,0.0
37,7.0,-34.0,-11.0,0.0,0.0
38,7.0,-34.0,-12.0,-1.0,0.0
39,8.0,-34.0,-12.0,-2.0,0.0
40,8.0,-34.0,-12.0,-3.0,0.0
41,9.0,-34.0,-12.0,-4.0,0.0
42,9.0,-34.0,-12.0,-5.0,0.0
43,9.0,-34.0,-12.0,-6.0,0.0
44,10.0,-34.0,-12.0,-7.0,0.0
45,10.0,-34.0,-12.0,-7.0,0.0
46,10.0,-34.0,-12.0,-8.0,0.0
47,10.0,-35.0,-13.0,-8.0,0.0
48,11.0,-35.0,-13.0,-9.0,0.0
49,11.0,-35.0,-13.0,-10.0,0.0
50,11.0,-35.0,-13.0,-11.0,0.0
51,12.0,-35.0,-13.0,-11.0,0.0
52,12.0,-35.0,-13.0,-12.0,0.0
53,12.0,-35.0,-13.0,-12.0,0.0
54,12.0,-35.0,-13.0,-13.0,0.0
55,12.0,-35.0,-13.0,-13.0,0.0
56,12.0,-36.0,-13.0,-14.0,0.0
57,13.0,-36.0,-13.0,-14.0,0.0
58,13.0,-36.0,-14.0,-14.0,0.0
59,13.0,-36.0,-14.0,-15.0,0.0
60,13.0,-36.0,-14.0,-15.0,0.0
61,13.0,-36.0,-14.0,-16.0,0.0
62,13.0,-36.0,-14.0,-16.0,0.0
63,14.0,-36.0,-14.0,-17.0,0.0
64,14.0,-36.0,-14.0,-17.0,0.0
65,14.0,-36.0,-14.0,-17.0,0.0
66,14.0,-36.0,-14.0,-18.0,0.0
67,14.0,-37.0,-14.0,-18.0,0.0
68,14.0,-37.0,-14.0,-18.0,0.0
69,14.0,-37.0,-14.0,-19.0,0.0
70,14.0,-37.0,-14.0,-19.0,0.0
71,14.0,-37.0,-14.0,-19.0,0.0
72,14.0,-37.0,-14.0,-19.0,0.0
73,15.0,-37.0,-14.0,-20.0,0.0
74,15.0,-37.0,-14.0,-20.0,0.0
75,15.0,-37.0,-14.0,-20.0,0.0
76,15.0,-37.0,-14.0,-20.0,0.0
77,16.0,-37.0,-14.0,-20.0,0.0
78,17.0,-36.0,-14.0,-19.0,0.0
79,18.0,-35.0,-14.0,-19.0,0.0
80,20.0,-35.0,-13.0,-18.0,0.0
81,21.0,-35.0,-12.0,-17.0,0.0
82,20.0,-36.0,-10.0,-16.0,0.0
83,19.0,-37.0,-9.0,-16.0,0.0
84,20.0,-37.0,-8.0,-15.0,0.0
85,20.0,-38.0,-8.0,-15.0,0.0
86,19.0,-38.0,-9.0,-15.0,0.0
87,19.0,-39.0,-9.0,-15.0,0.0
88,19.0,-39.0,-9.0,-15.0,0.0
89,19.0,-40.0,-10.0,-15.0,0.0
90,18.0,-40.0,-9.0,-15.0,0.0
91,20.0,-36.0,-10.0,-15.0,0.0
92,20.0,-35.0,-9.0,-14.0,0.0
93,21.0,-34.0,-9.0,-14.0,0.0
94,22.0,-33.0,-9.0,-14.0,0.0
95,23.0,-33.0,-8.0,-14.0,0.0
96,26.0,-38.0,-8.0,-9.0,0.0
97,29.0,-36.0,-8.0,-8.0,0.0
98,30.0,-35.0,-8.0,-7.0,0.0
99,31.0,-35.0,-8.0,-6.0,0.0
100,32.0,-35.0,-8.0,-5.0,0.0
101,33.0,-34.0,-7.0,-4.0,0.0
102,33.0,-34.0,-7.0,-3.0,0.0
103,34.0,-35.0,-7.0,-3.0,0.0
