,r1,r2,p1,p2,gesture
100,24,-42,-16,2,1
101,24,-42,-16,3,1
102,23,-43,-16,3,1
103,23,-43,-16,3,1
104,23,-43,-17,3,1
105,22,-44,-16,3,1
106,19,-45,-17,5,1
107,34,-24,-25,2,1
108,34,-26,-24,8,1
109,35,-23,-25,9,1
110,35,-22,-26,10,1
111,35,-21,-26,11,1
112,36,-21,-27,11,1
113,36,-20,-27,12,1
114,37,-20,-27,12,1
115,37,-20,-28,13,1
116,37,-19,-28,13,1
117,37,-19,-28,14,1
118,38,-18,-28,14,1
119,38,-18,-29,15,1
120,38,-18,-29,15,1
121,39,-17,-29,15,1
122,39,-17,-29,16,1
123,39,-16,-30,16,1
124,39,-16,-30,16,1
125,40,-16,-30,17,1
126,40,-15,-30,17,1
