,r1,r2,p1,p2,gesture
0,0.0,-2.0,0.0,-1.0,0.0
1,0.0,-5.0,-1.0,-1.0,0.0
2,0.0,-7.0,-1.0,-2.0,0.0
3,0.0,-9.0,-2.0,-3.0,0.0
4,0.0,-11.0,-2.0,-3.0,0.0
5,0.0,-13.0,-2.0,-4.0,0.0
6,0.0,-14.0,-3.0,-4.0,0.0
7,0.0,-16.0,-3.0,-5.0,0.0
8,0.0,-18.0,-3.0,-5.0,0.0
9,0.0,-19.0,-4.0,-5.0,0.0
10,0.0,-21.0,-4.0,-6.0,0.0
11,0.0,-23.0,-4.0,-6.0,0.0
12,0.0,-24.0,-4.0,-6.0,0.0
13,0.0,-25.0,-4.0,-7.0,0.0
14,0.0,-27.0,-5.0,-7.0,0.0
15,0.0,-28.0,-5.0,-7.0,0.0
16,0.0,-29.0,-5.0,-8.0,0.0
17,0.0,-30.0,-5.0,-8.0,0.0
18,0.0,-32.0,-5.0,-9.0,0.0
19,0.0,-33.0,-6.0,-9.0,0.0
20,0.0,-34.0,-6.0,-9.0,0.0
21,0.0,-35.0,-6.0,-9.0,0.0
22,0.0,-36.0,-6.0,-10.0,0.0
23,0.0,-37.0,-6.0,-10.0,0.0
24,0.0,-37.0,-6.0,-10.0,0.0
25,0.0,-38.0,-6.0,-10.0,0.0
26,0.0,-39.0,-6.0,-11.0,0.0
27,0.0,-40.0,-7.0,-11.0,0.0
28,0.0,-41.0,-7.0,-11.0,0.0
29,0.0,-41.0,-7.0,-11.0,0.0
30,0.0,-42.0,-7.0,-11.0,0.0
31,0.0,-43.0,-7.0,-12.0,0.0
32,0.0,-43.0,-7.0,-12.0,0.0
33,1.0,-43.0,-7.0,-12.0,0.0
34,0.0,-44.0,-7.0,-11.0,0.0
35,1.0,-44.0,-7.0,-10.0,0.0
36,1.0,-45.0,-7.0,-9.0,0.0
37,0.0,-46.0,-7.0,-8.0,0.0
38,0.0,-47.0,-7.0,-8.0,0.0
39,0.0,-48.0,-6.0,-7.0,0.0
40,0.0,-49.0,-6.0,-6.0,0.0
41,0.0,-49.0,-6.0,-6.0,0.0
42,0.0,-50.0,-6.0,-6.0,0.0
43,0.0,-51.0,-6.0,-6.0,0.0
44,0.0,-51.0,-6.0,-6.0,0.0
45,0.0,-51.0,-6.0,-6.0,0.0
46,0.0,-52.0,-6.0,-6.0,0.0
47,0.0,-52.0,-7.0,-7.0,0.0
48,0.0,-52.0,-6.0,-7.0,0.0
49,0.0,-52.0,-6.0,-7.0,0.0
50,0.0,-53.0,-7.0,-7.0,0.0
51,0.0,-53.0,-7.0,-8.0,0.0
52,1.0,-53.0,-7.0,-8.0,0.0
53,1.0,-53.0,-7.0,-8.0,0.0
54,1.0,-53.0,-7.0,-7.0,0.0
55,1.0,-54.0,-7.0,-7.0,0.0
56,1.0,-54.0,-7.0,-7.0,0.0
57,2.0,-54.0,-7.0,-7.0,0.0
58,2.0,-54.0,-7.0,-7.0,0.0
59,2.0,-54.0,-7.0,-7.0,0.0
60,1.0,-55.0,-6.0,-9.0,0.0
61,2.0,-53.0,-7.0,-8.0,0.0
62,2.0,-51.0,-7.0,-9.0,0.0
63,2.0,-50.0,-7.0,-9.0,0.0
64,2.0,-48.0,-7.0,-9.0,0.0
65,3.0,-47.0,-6.0,-9.0,0.0
66,3.0,-46.0,-6.0,-9.0,0.0
67,3.0,-45.0,-6.0,-9.0,0.0
68,3.0,-44.0,-6.0,-9.0,0.0
69,4.0,-44.0,-6.0,-9.0,0.0
70,4.0,-43.0,-6.0,-9.0,0.0
71,4.0,-43.0,-6.0,-10.0,0.0
72,4.0,-42.0,-6.0,-10.0,0.0
73,4.0,-42.0,-6.0,-10.0,0.0
74,4.0,-41.0,-7.0,-10.0,0.0
75,4.0,-40.0,-7.0,-10.0,0.0
76,4.0,-40.0,-7.0,-10.0,0.0
77,4.0,-39.0,-7.0,-11.0,0.0
78,4.0,-38.0,-6.0,-11.0,0.0
79,4.0,-37.0,-6.0,-11.0,0.0
80,4.0,-37.0,-6.0,-11.0,0.0
81,4.0,-36.0,-6.0,-11.0,0.0
82,4.0,-35.0,-6.0,-11.0,0.0
83,4.0,-34.0,-6.0,-11.0,0.0
84,4.0,-33.0,-6.0,-11.0,0.0
85,4.0,-32.0,-6.0,-11.0,0.0
86,4.0,-31.0,-6.0,-11.0,0.0
87,4.0,-31.0,-6.0,-11.0,0.0
88,4.0,-30.0,-5.0,-11.0,0.0
89,4.0,-29.0,-5.0,-11.0,0.0
90,4.0,-28.0,-5.0,-12.0,0.0
91,4.0,-28.0,-5.0,-12.0,0.0
92,4.0,-29.0,-5.0,-11.0,0.0
93,3.0,-34.0,-5.0,-11.0,0.0
94,4.0,-37.0,-5.0,-11.0,0.0
95,4.0,-39.0,-5.0,-11.0,0.0
96,4.0,-41.0,-5.0,-11.0,0.0
97,4.0,-43.0,-5.0,-11.0,0.0
98,4.0,-45.0,-6.0,-11.0,0.0
99,4.0,-46.0,-5.0,-11.0,0.0
100,4.0,-45.0,-5.0,-11.0,0.0
101,4.0,-44.0,-5.0,-11.0,0.0
102,4.0,-45.0,-5.0,-11.0,0.0
103,4.0,-45.0,-5.0,-11.0,0.0
104,4.0,-45.0,-5.0,-12.0,0.0
105,4.0,-46.0,-5.0,-11.0,0.0
106,5.0,-48.0,-5.0,-11.0,0.0
107,6.0,-48.0,-6.0,-10.0,0.0
108,6.0,-48.0,-6.0,-10.0,0.0
