,r1,r2,p1,p2,gesture
100,1,-33,-5,-6,2
101,1,-33,-5,-6,2
102,1,-33,-5,-6,2
103,1,-33,-5,-6,2
104,1,-33,-5,-6,2
105,1,-33,-5,-6,2
106,1,-33,-5,-6,2
107,-1,-35,-13,-4,2
108,-3,-38,-31,-3,2
109,0,-41,-48,0,2
110,1,-38,-55,-1,2
111,1,-39,-55,-1,2
112,1,-39,-53,-1,2
113,1,-39,-52,0,2
114,0,-41,-47,1,2
115,-2,-39,-32,0,2
116,0,-37,-17,-2,2
117,-2,-38,-7,-3,2
118,1,-37,-4,-3,2
119,1,-38,-4,-4,2
120,1,-37,-4,-4,2
121,1,-37,-4,-4,2
122,1,-37,-4,-4,2
123,1,-37,-4,-4,2
124,1,-36,-5,-5,2
125,1,-36,-5,-5,2
126,1,-36,-5,-5,2
127,1,-36,-5,-5,2
128,1,-36,-5,-6,2
129,1,-36,-5,-6,2
130,1,-36,-5,-6,2
131,1,-35,-5,-6,2
132,1,-35,-5,-7,2
133,1,-35,-5,-7,2
134,1,-35,-5,-7,2
