,r1,r2,p1,p2,gesture
0,6.0,7.0,-2.0,7.0,0.0
1,11.0,13.0,-4.0,8.0,0.0
2,17.0,17.0,-10.0,8.0,0.0
3,12.0,9.0,-13.0,-2.0,0.0
4,12.0,6.0,-12.0,-6.0,0.0
5,8.0,7.0,-13.0,-5.0,0.0
6,6.0,5.0,-14.0,-6.0,0.0
7,5.0,2.0,-15.0,-7.0,0.0
8,4.0,1.0,-17.0,-6.0,0.0
9,3.0,1.0,-18.0,-5.0,0.0
10,3.0,-1.0,-20.0,-5.0,0.0
11,3.0,-3.0,-20.0,-6.0,0.0
12,3.0,-5.0,-21.0,-6.0,0.0
13,3.0,-7.0,-22.0,-7.0,0.0
14,4.0,-9.0,-23.0,-8.0,0.0
15,5.0,-11.0,-24.0,-9.0,0.0
16,5.0,-13.0,-25.0,-9.0,0.0
17,6.0,-14.0,-26.0,-10.0,0.0
18,7.0,-16.0,-27.0,-11.0,0.0
19,8.0,-16.0,-27.0,-11.0,0.0
20,9.0,-17.0,-28.0,-12.0,0.0
21,11.0,-18.0,-29.0,-12.0,0.0
22,12.0,-19.0,-31.0,-13.0,0.0
23,12.0,-21.0,-32.0,-15.0,0.0
24,13.0,-24.0,-34.0,-18.0,0.0
25,14.0,-26.0,-36.0,-21.0,0.0
26,15.0,-26.0,-39.0,-24.0,0.0
27,15.0,-26.0,-39.0,-24.0,0.0
28,17.0,-26.0,-36.0,-24.0,0.0
29,18.0,-25.0,-36.0,-22.0,0.0
30,20.0,-24.0,-35.0,-20.0,0.0
31,23.0,-22.0,-32.0,-16.0,0.0
32,25.0,-21.0,-31.0,-15.0,0.0
33,24.0,-22.0,-30.0,-15.0,0.0
34,22.0,-22.0,-26.0,-14.0,0.0
35,21.0,-21.0,-22.0,-14.0,0.0
36,20.0,-22.0,-22.0,-14.0,0.0
37,20.0,-20.0,-21.0,-14.0,0.0
38,21.0,-20.0,-20.0,-13.0,0.0
39,21.0,-20.0,-19.0,-13.0,0.0
40,21.0,-19.0,-18.0,-12.0,0.0
41,20.0,-19.0,-18.0,-12.0,0.0
42,19.0,-19.0,-18.0,-12.0,0.0
43,19.0,-19.0,-18.0,-13.0,0.0
44,18.0,-19.0,-17.0,-13.0,0.0
45,18.0,-19.0,-17.0,-14.0,0.0
46,18.0,-19.0,-16.0,-15.0,0.0
47,18.0,-20.0,-16.0,-15.0,0.0
48,19.0,-20.0,-15.0,-16.0,0.0
49,18.0,-20.0,-15.0,-17.0,0.0
50,18.0,-20.0,-15.0,-17.0,0.0
51,18.0,-20.0,-16.0,-18.0,0.0
52,18.0,-20.0,-18.0,-18.0,0.0
53,18.0,-19.0,-19.0,-18.0,0.0
54,17.0,-19.0,-21.0,-18.0,0.0
55,17.0,-19.0,-22.0,-18.0,0.0
56,16.0,-19.0,-23.0,-18.0,0.0
57,17.0,-18.0,-23.0,-18.0,0.0
58,17.0,-18.0,-23.0,-19.0,0.0
59,16.0,-21.0,-23.0,-18.0,0.0
60,17.0,-20.0,-23.0,-20.0,0.0
61,16.0,-19.0,-20.0,-22.0,0.0
62,16.0,-20.0,-19.0,-22.0,0.0
63,16.0,-22.0,-18.0,-21.0,0.0
64,16.0,-22.0,-18.0,-21.0,0.0
65,15.0,-22.0,-18.0,-22.0,0.0
66,15.0,-22.0,-20.0,-22.0,0.0
67,14.0,-22.0,-22.0,-22.0,0.0
68,14.0,-22.0,-26.0,-23.0,0.0
69,15.0,-22.0,-28.0,-25.0,0.0
70,16.0,-22.0,-31.0,-27.0,0.0
71,15.0,-22.0,-33.0,-26.0,0.0
72,14.0,-23.0,-36.0,-26.0,0.0
73,14.0,-24.0,-37.0,-26.0,0.0
74,14.0,-24.0,-37.0,-26.0,0.0
75,14.0,-25.0,-36.0,-25.0,0.0
76,15.0,-25.0,-36.0,-25.0,0.0
77,15.0,-25.0,-36.0,-25.0,0.0
78,16.0,-26.0,-35.0,-24.0,0.0
79,16.0,-26.0,-35.0,-24.0,0.0
80,16.0,-27.0,-34.0,-24.0,0.0
81,17.0,-27.0,-33.0,-24.0,0.0
